procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 MSK
 1  0  82944 175268  14288 15420576    0    1  1203  3956  121  163  4  1 89  7  0 2019-09-18 09:10:43
 1  2  82944 167868  14132 15428512    0    0  2142 54767 1975  911  8  1 82  9  0 2019-09-18 09:10:48
 1  2  82944 171788  14160 15423376   19    0  2637 102395 1451  651  7  1 81 12  0 2019-09-18 09:10:53
 1  3  83200 164452  14148 15430392    0   23  1350 99590 1346 1051  7  1 78 14  0 2019-09-18 09:10:58
 1  3  83200 163748  13540 15430928    0   18  2038 125463 1389 8499  2  1 80 17  0 2019-09-18 09:11:03
 0  3  83200 172492  13492 15423472    0    0  3693 104432  879 5346  0  1 85 14  0 2019-09-18 09:11:08
 3  0  83200 546860  14436 15031164    0    0 244728 29921 2185 4522  1  2 90  7  0 2019-09-18 09:11:13
 0  3  83456 162016  14444 15411320    6    8 84618 71491 1741  963  3  1 86  9  0 2019-09-18 09:11:18
 0  5  83712 153488  14336 15420236    0   57 32301 104643  837  707  0  1 82 17  0 2019-09-18 09:11:23
 0  3  83712 157708  14336 15416156    0   14  8224 105919  705  811  0  1 87 12  0 2019-09-18 09:11:28
 0  2  83712 167628  14444 15405744    0   20  7384 97305  705  754  0  1 88 11  0 2019-09-18 09:11:33
 0  1  85760 172632  11436 15407096    0  414 282307  1999 1751  904  2  2 89  7  0 2019-09-18 09:11:38
 0  1  86272 165292  11432 15414912    0   70 51321 84482  917  716  0  1 88 11  0 2019-09-18 09:11:43
 0  2  86528 170740  11436 15409356    0   45 33160 40653  763  672  1  1 84 14  0 2019-09-18 09:11:48
 0  4  86528 159884  11444 15419000    0    1  6666 56021  568  724  0  0 84 15  0 2019-09-18 09:11:53
 0  2  86528 160276  11452 15418284    0    3  4560 115108  624  683  0  1 83 16  0 2019-09-18 09:11:58
 0  6  86528 179896  11460 15410196    0   13  3084 84431  832  680  2  0 78 20  0 2019-09-18 09:12:03
 1  1  88576 169024  10184 15427880   26  421 301181 35288 2596 1341  3  3 88  6  0 2019-09-18 09:12:08
 0  2  88576 159504  10184 15437636    0   51 36822 69786  766  726  0  1 86 13  0 2019-09-18 09:12:13
 0  5  88832 154236  10192 15444828    0    3  6112 95700  755  753  1  0 76 22  0 2019-09-18 09:12:18
 0  7  88832 152156  10204 15447108    0    6  5069 111290  543  570  0  0 82 17  0 2019-09-18 09:12:23
 0  1  89344 176728  10220 15445676    0  112 47325 54526  893  617  2  1 82 15  0 2019-09-18 09:12:28
 1  0  89344 302564  10236 15294608   56    0  4249 19519 1635 1174  4  2 88  7  0 2019-09-18 09:12:33
 0  4  89344 163204  10252 15464580    0    0  4633 37224 1089 2770  4  1 87  7  0 2019-09-18 09:12:38
